distance,export_rca,export_value,import_value,location_id,id,year
0.7554,243.8809,16687343,76812,239,1231,2000
0.6642,137.0272,39750276,83220,239,755,2007
0.6265,102.3348,47934624,188976,239,755,2008
0.7534,98.7539,3338376,98450,239,1231,2001
0.6499,83.8105,26100520,78803,239,755,2005
0.7502,83.008,3200186,236180,239,1231,2002
0.6614,78.2254,12315539,1073,239,755,2006
0.7156,77.0079,2218189,0,239,770,2003
0.6813,74.1035,11260456,0,239,755,2004
0.5567,68.6212,42051692,40596,239,755,2010
0.5294,67.6663,66943728,116390,239,755,2011
0.7954,66.0871,28149380,503848,239,1123,2003
0.7118,65.4998,4266079,245057,239,1382,1998
0.6474,62.9251,370561952,49880336,239,712,2004
0.6539,61.1417,859358976,186334272,239,712,2008
0.65,59.7202,572921792,122342008,239,712,2007
0.6555,58.263,246065984,31223224,239,712,2003
0.6569,57.96,445739520,79498328,239,712,2005
0.6615,57.8627,469093376,65997504,239,712,2006
0.8031,57.0415,67493384,93187,239,754,1995
0.7644,57.0193,841262144,5819181,239,741,1999
0.5862,56.9935,29716168,18605,239,1262,2006
0.735,56.286,29185470,2631764,239,1229,2001
0.6268,53.9912,1032061440,358856928,239,712,2010
0.7565,53.6845,6966785,265255,239,682,1995
0.655,53.2505,804997760,152249232,239,712,2009
0.7164,52.0804,156317760,9946,239,729,1999
0.6258,52.0125,187407792,21086530,239,712,2002
0.6081,51.7552,13137757,7839,239,1262,2002
0.7423,50.964,489724416,619262,239,1378,1998
0.7729,50.6527,477130432,1264212,239,741,1996
0.7427,50.6293,570854592,664524,239,1378,1999
0.7463,49.7149,10350638,207753,239,1391,2000
0.6657,49.4471,7495545,35466,239,731,1995
0.7975,49.3532,17797112,569993,239,1123,2002
0.7612,48.862,720239104,2181378,239,741,1998
0.7961,47.5303,70745296,12786,239,754,1996
0.7564,46.7128,1417802,25095,239,812,1996
0.7111,46.0439,4393511,6142,239,1381,2004
0.6742,45.3903,9634431,1945399,239,1391,2002
0.7067,45.2616,8303247,842651,239,1391,2001
0.7393,45.041,9319230,8154,239,769,1995
0.6307,44.6699,137555120,18948512,239,712,2001
0.6626,44.3647,161936896,12252470,239,712,2000
0.7729,44.3223,498754208,1983375,239,741,1997
0.8058,43.8522,2335600,45667,239,1162,1998
0.7854,43.8354,302171232,882879,239,741,1995
0.747,43.7309,11117746,54181,239,769,1996
0.6988,43.6662,689765184,203840,239,726,1995
0.7509,43.595,442155328,1865279,239,1378,1997
0.7318,43.4864,33979648,7462348,239,1147,2009
0.6086,43.4857,1333824896,581002112,239,712,2011
0.7511,42.8443,54200896,25620,239,729,1996
0.6859,42.6835,14096665,6960496,239,1391,2006
0.6384,42.595,5312879,13062,239,755,2002
0.7439,42.2527,657722752,868216,239,1378,2000
0.6545,42.2178,4812521,0,239,755,2003
0.7148,42.2035,21111364,2769355,239,1229,2002
0.8276,42.1171,15135090,2889604,239,1575,2000
0.7825,41.7769,695657152,8162978,239,741,2000
0.6273,41.5994,306793280,21749222,239,711,2009
0.7272,41.5277,156017824,982843,239,729,2000
0.7447,41.524,1388450432,19140064,239,741,2005
0.7304,41.4211,88793976,163223,239,729,1997
0.6673,40.5283,152851920,1427810,239,729,2004
0.7331,40.3741,15698038,12097,239,897,2001
0.7251,39.7507,725923712,13123632,239,741,2002
0.7759,38.8849,290060288,979207,239,1378,1996
0.6868,38.8494,8273204,437942,239,1391,2003
0.7602,38.7253,39393048,4173,239,729,1995
0.5859,38.2954,15336382,52099,239,755,2009
0.7077,38.2202,75174496,860306,239,724,2001
0.6772,38.2124,917647936,5138139,239,1457,2009
0.6885,38.1289,194326992,5251555,239,729,2006
0.6989,38.0794,644215616,558209,239,1378,2002
0.6796,37.9462,157988032,610767,239,729,2005
0.6397,37.8948,144116752,999199,239,711,2006
0.7097,37.8583,1069249600,2377071,239,1378,2005
0.7206,37.5762,23951462,31774792,239,897,2004
0.6628,37.5571,110344496,530900,239,729,2002
0.7611,37.1761,69321648,24774336,239,724,2000
0.7097,37.0644,871931968,1531030,239,1378,2004
