id_1,strength,id_2
796,0.54,847
796,0.59,1029
796,0.54,829
796,0.62,831
796,0.52,1114
796,0.58,1118
796,0.55,1030
796,0.54,1045
795,0.68,1616
795,0.67,796
795,0.58,1553
795,0.65,1559
796,0.45,825
796,0.55,828
795,0.73,1172
795,0.74,1776
826,0.57,829
826,0.53,827
796,0.56,810
796,0.52,1776
826,0.65,1045
826,0.61,1030
826,0.61,1029
826,0.56,847
796,0.55,1175
796,0.54,1172
796,0.48,1168
796,0.51,1167
796,0.58,1636
796,0.54,1553
796,0.51,1515
796,0.59,1209
668,0.71,798
668,0.78,670
672,0.56,798
672,0.63,799
672,0.48,851
672,0.59,1300
795,0.51,810
795,0.56,826
669,0.71,670
669,0.66,693
669,0.64,798
669,0.59,839
670,0.66,672
670,0.71,798
668,0.67,669
668,0.69,672
795,0.6,1212
795,0.53,1167
795,0.63,1400
795,0.61,1216
795,0.66,1499
795,0.66,1404
795,0.65,1516
795,0.59,1515
795,0.74,831
795,0.69,828
795,0.66,1029
795,0.58,847
795,0.64,1045
795,0.63,1030
795,0.66,1118
795,0.63,1114
673,0.69,675
673,0.71,1172
673,0.64,1400
673,0.65,1776
673,0.57,1167
673,0.67,1199
673,0.56,1115
673,0.6,1118
673,0.58,1045
673,0.51,1114
673,0.6,1029
673,0.57,1030
673,0.56,847
673,0.58,917
673,0.54,826
673,0.67,828
669,0.64,1300
669,0.59,672
667,0.45,697
667,0.63,672
667,0.69,668
667,0.76,670
667,0.6,669
676,0.61,1057
676,0.75,1051
676,0.76,677
676,0.6,1093
656,0.59,796
656,0.51,751
656,0.67,661
656,0.56,693
656,0.64,676
651,0.55,675
651,0.58,673
673,0.61,796
673,0.74,795
1114,0.59,1209
1114,0.56,1199
1114,0.58,1118
1045,0.59,1476
1114,0.62,1500
1114,0.62,1499
1114,0.59,1404
1114,0.71,1216
1114,0.63,1559
1114,0.6,1553
1114,0.58,1547
1114,0.6,1516
1114,0.37,1373
1114,0.65,1858
1114,0.6,1646
1114,0.54,1636
1115,0.64,1404
1115,0.58,1504
1114,0.66,1776
1115,0.59,1208
1115,0.62,1553
1115,0.58,1559
1115,0.59,1510
1115,0.53,1515
1115,0.58,1516
1118,0.64,1167
1115,0.57,1776
1115,0.61,1855
1118,0.57,1178
1118,0.6,1208
1118,0.69,1172
1118,0.61,1175
1030,0.71,1035
1029,0.56,1191
1030,0.62,1056
1030,0.65,1048
1030,0.6,1115
1030,0.58,1114
1030,0.49,1191
1030,0.58,1118
1030,0.59,1212
1030,0.68,1209
1030,0.69,1225
1030,0.63,1216
1030,0.62,1499
1030,0.61,1400
1030,0.58,1547
1030,0.7,1500
1030,0.66,1776
1030,0.75,1045
1030,0.73,1110
1045,0.6,1110
1045,0.56,1114
1045,0.63,1118
1045,0.6,1199
1045,0.72,1209
1045,0.64,1212
1045,0.64,1225
1045,0.6,1499
1045,0.73,1500
1045,0.68,1547
1045,0.58,1636
1045,0.64,1776
1045,0.66,1858
917,0.59,1499
917,0.51,1478
917,0.58,1433
917,0.56,1404
917,0.59,1118
847,0.39,1108
847,0.61,1045
847,0.41,1021
1029,0.65,1114
1029,0.63,1113
1029,0.69,1110
1029,0.72,1045
917,0.68,1172
917,0.54,1855
917,0.61,1650
917,0.58,1559
1029,0.63,1216
1029,0.69,1225
1029,0.68,1202
1029,0.54,1208
1029,0.56,1172
1029,0.56,1199
1029,0.53,1115
1029,0.61,1118
1029,0.7,1056
1029,0.6,1084
1029,0.84,1030
1029,0.75,1035
1029,0.64,1646
1029,0.62,1776
1029,0.65,1400
1029,0.48,1515
826,0.58,1500
826,0.63,1210
826,0.56,1212
826,0.55,1547
826,0.53,1172
826,0.59,1110
826,0.58,1209
826,0.5,1199
828,0.55,1056
828,0.66,1045
828,0.61,1114
828,0.55,1110
828,0.63,847
828,0.66,831
828,0.68,1035
828,0.61,1030
828,0.63,1294
828,0.68,1404
828,0.73,1500
828,0.55,1547
828,0.51,1167
828,0.63,1172
828,0.6,1191
828,0.59,1199
847,0.55,1172
847,0.54,1191
847,0.54,1209
847,0.61,1212
828,0.59,1776
828,0.65,1029
847,0.6,1030
847,0.49,1167
678,0.46,796
1093,0.45,1652
678,0.53,810
678,0.59,809
678,0.54,1199
678,0.59,828
809,0.49,826
809,0.57,821
1515,0.58,1706
1515,0.46,1704
1515,0.58,1749
1515,0.45,1707
1515,0.62,1776
1515,0.6,1758
1515,0.71,1516
1515,0.66,1855
1404,0.76,1498
1404,0.73,1499
1404,0.73,1858
1515,0.6,1553
1515,0.63,1559
1515,0.56,1572
