id,sector,x,y
1225,Vegetables_foodstuff_and_wood,2076,2433
1223,Vegetables_foodstuff_and_wood,1451,2753
1222,Vegetables_foodstuff_and_wood,1491,2276
1221,Vegetables_foodstuff_and_wood,2879,2627
1216,Vegetables_foodstuff_and_wood,2178,2498
1215,Vegetables_foodstuff_and_wood,1543,2643
1214,Vegetables_foodstuff_and_wood,2122,2409
1212,Vegetables_foodstuff_and_wood,2302,2490
1211,Vegetables_foodstuff_and_wood,2733,2358
1210,Vegetables_foodstuff_and_wood,2414,2429
1209,Vegetables_foodstuff_and_wood,2321,2409
1208,Vegetables_foodstuff_and_wood,2124,2443
1205,Vegetables_foodstuff_and_wood,1083,1932
1204,Vegetables_foodstuff_and_wood,1392,2000
1202,Vegetables_foodstuff_and_wood,1830,2330
1201,Vegetables_foodstuff_and_wood,1469,2281
1200,Vegetables_foodstuff_and_wood,1293,1883
1199,Vegetables_foodstuff_and_wood,2356,2386
1197,Vegetables_foodstuff_and_wood,1462,2324
1196,Vegetables_foodstuff_and_wood,2086,2508
1195,Vegetables_foodstuff_and_wood,1878,2068
1194,Vegetables_foodstuff_and_wood,2348,2255
1193,Vegetables_foodstuff_and_wood,1865,2135
1192,Vegetables_foodstuff_and_wood,1428,2324
1191,Vegetables_foodstuff_and_wood,2151,2485
1189,Vegetables_foodstuff_and_wood,1341,1895
1187,Vegetables_foodstuff_and_wood,1030,2150
1186,Vegetables_foodstuff_and_wood,1036,2106
1184,Vegetables_foodstuff_and_wood,2791,2366
1178,Vegetables_foodstuff_and_wood,2184,2339
1177,Vegetables_foodstuff_and_wood,2772,2391
1175,Vegetables_foodstuff_and_wood,2265,2330
1172,Vegetables_foodstuff_and_wood,2225,2417
1171,Vegetables_foodstuff_and_wood,2125,2060
1169,Vegetables_foodstuff_and_wood,2316,2122
1168,Vegetables_foodstuff_and_wood,2243,2398
1167,Vegetables_foodstuff_and_wood,2252,2441
1166,Vegetables_foodstuff_and_wood,2250,2196
1165,Vegetables_foodstuff_and_wood,2275,2235
1164,Vegetables_foodstuff_and_wood,2279,2163
1160,Vegetables_foodstuff_and_wood,2300,2201
1158,Vegetables_foodstuff_and_wood,2229,2336
1156,Vegetables_foodstuff_and_wood,2092,1864
1155,Vegetables_foodstuff_and_wood,2108,2277
1154,Vegetables_foodstuff_and_wood,1540,2071
1152,Vegetables_foodstuff_and_wood,2060,2269
1150,Vegetables_foodstuff_and_wood,2094,1913
1149,Vegetables_foodstuff_and_wood,1370,2776
1148,Vegetables_foodstuff_and_wood,2047,1925
1143,Vegetables_foodstuff_and_wood,2751,2331
1142,Vegetables_foodstuff_and_wood,2312,2722
1141,Vegetables_foodstuff_and_wood,2311,2666
1140,Vegetables_foodstuff_and_wood,2769,2292
1138,Vegetables_foodstuff_and_wood,2321,2634
1137,Vegetables_foodstuff_and_wood,2316,2590
850,Vegetables_foodstuff_and_wood,2360,2605
849,Vegetables_foodstuff_and_wood,2407,2373
848,Vegetables_foodstuff_and_wood,2520,2591
847,Vegetables_foodstuff_and_wood,2228,2536
844,Vegetables_foodstuff_and_wood,2297,2066
842,Vegetables_foodstuff_and_wood,1453,2447
841,Vegetables_foodstuff_and_wood,2761,2733
840,Vegetables_foodstuff_and_wood,2477,2121
839,Vegetables_foodstuff_and_wood,2176,2819
837,Vegetables_foodstuff_and_wood,1972,2553
836,Vegetables_foodstuff_and_wood,1964,2590
833,Vegetables_foodstuff_and_wood,2533,2890
832,Vegetables_foodstuff_and_wood,1945,2604
831,Vegetables_foodstuff_and_wood,2383,2405
830,Vegetables_foodstuff_and_wood,2053,2650
829,Vegetables_foodstuff_and_wood,2279,2497
828,Vegetables_foodstuff_and_wood,2260,2473
827,Vegetables_foodstuff_and_wood,2347,2491
826,Vegetables_foodstuff_and_wood,2213,2462
825,Vegetables_foodstuff_and_wood,2218,2489
824,Vegetables_foodstuff_and_wood,2379,2274
823,Vegetables_foodstuff_and_wood,2411,2502
